metric,test,H,p_value
num_triplets,kruskal,33.40106503560048,2.650539511666696e-07
num_unique_concepts,kruskal,56.47146743125906,3.3321702279893843e-12
graph_density,kruskal,45.3412046051607,7.829769899189465e-10
triplets_per_100_tokens,kruskal,42.685009820942646,2.8706777822276734e-09
graph_avg_degree,kruskal,18.770496887021316,0.0003049556731861143
